sn,mb,dm15,color,MB,z
sn2000ca,15.6572823160817,0.926751066939403,-0.023511633922154995,-19.345244777949688,0.023615999999999998
sn2001ba,16.2484571881652,0.941964367806065,-0.103667833796386,-19.24064411036021,0.029419999999999998
sn2003w,15.882180565234899,1.1426040274308302,0.129250820178022,-18.761383642141098,0.020071000000000002
sn2005kc,15.579303953462999,1.24600115932751,0.166530150946599,-18.441056503548054,0.015119999999999998
sn1994s,14.7868211327459,0.979672028789658,-0.042895165597948,-19.24180383271171,0.015177000000000001
sn1992al,14.4936129744298,1.1061293038787,,-19.452151302967827,0.014615000000000001
sn2003fa,16.755234329573,0.900887267958552,0.034907907116412985,-19.38188791244759,0.039361
sn2002dp,14.6131359191774,1.07176978909625,0.112456226914738,-18.833112759933442,0.011637999999999999
sn2006ac,16.2377826647299,1.15375297495414,0.15196777418166402,-18.716507424591803,0.023106
sn2002hu,16.6283774305273,0.9805456746496692,-0.099696016693095,-19.43016842521007,0.038
sn2001ep,14.906576522457,1.20299452450936,0.063780498560071,-18.784271002030422,0.013012000000000001
sn2006oa,17.941009785140604,0.6711306582325349,0.01517620799666,-19.143907984488113,0.060002
sn2004as,16.9541631185726,0.654296590794679,0.064591054409355,-18.652580697315624,0.031020999999999996
sn1992bc,15.126832889530801,0.8297853509762729,-0.070475297898149,-19.53085383060384,0.0202
sn1993o,17.6266124202634,1.21821396432278,-0.162346596582381,-19.091360464522808,0.051
sn1997e,15.184167358477199,1.40360116577296,0.03494837261033,-18.593762407410203,0.013538999999999999
sn2005ki,15.5661906838418,1.28619003906417,-0.064102369450069,-19.02582594380549,0.019607
sn2000dk,15.3789675119784,1.6392656768730198,-0.015834134464298998,-18.95542990085483,0.017442
sn1998ef,14.7243670253932,1.37121378363931,-0.229478661411939,-19.647553731827408,0.017741999999999997
sn1999cc,16.784447204717,1.37662029449029,0.0010012249394080002,-18.844174437287673,0.031327999999999995
SDSS6108,21.555499281868602,0.953643174431271,,-18.97284522229008,0.259
SDSS2561,19.831733424145998,1.11227831126691,0.118584985260014,-18.80756852616398,0.118
SDSS5737,22.2980888451551,0.6989036548304599,,-19.279908389172093,0.393
SDSS5717,21.3549473559434,0.7834111987313291,,-19.10565993277282,0.252
SDSS9032,21.361431003905803,,,-19.118704538546833,0.254
SDSS3901,17.9561718487118,1.10202240969201,-0.099249366744886,-19.23923151641998,0.063
SDSS5103,20.3453832516309,1.04958269374648,-0.033935385559907,-18.795252237857007,0.146
SDSS6780,21.1172792070403,1.5034674816137,0.095242758291754,-18.801931730161808,0.202
SDSS2533,21.739817232530605,0.7703336691562439,,-19.46951083948715,0.34
SDSS5395,19.4710542772355,0.763055637993432,0.057646113376343,-19.148346426366448,0.117
SDSS1032,20.364957541771396,1.87181428819992,0.118588890601572,-18.501543080579474,0.13
SDSS3377,20.7650768637416,0.9559954786756178,,-19.62604044510236,0.245
SDSS5549,19.6220366677187,1.00693797797992,0.005370114644109,-19.076031720813273,0.121
