name z ra dec
SN2008gp 0.0334 50.753 1.3619
time flux flux_err zp band mag_sys
54802.231 2.5893522257957417e-16 2.384881534251291e-18 -21.04202217275901 Swope_V CSP_VEGA
54803.286 2.4979925045256755e-16 2.5308097334659395e-18 -21.04202217275901 Swope_V CSP_VEGA
54806.239 2.0416962489970784e-16 2.0685189128395133e-18 -21.04202217275901 Swope_V CSP_VEGA
54808.244 1.831433402992366e-16 2.1928562513216204e-18 -21.04202217275901 Swope_V CSP_VEGA
54809.207 1.6888502049665805e-16 2.7998793405043104e-18 -21.04202217275901 Swope_V CSP_VEGA
54810.196 1.6656783114626024e-16 3.528536765721499e-18 -21.04202217275901 Swope_V CSP_VEGA
54813.117 1.3816280154573742e-16 3.817579286946116e-18 -21.04202217275901 Swope_V CSP_VEGA
54814.197 1.337799812957547e-16 3.6964774880715246e-18 -21.04202217275901 Swope_V CSP_VEGA
54768.261 4.284534804221417e-16 4.3408226270703346e-18 -20.496240812372445 Swope_B CSP_VEGA
54770.24 6.443230603624047e-16 4.747547756360882e-18 -20.496240812372445 Swope_B CSP_VEGA
54772.297 8.604064849743107e-16 7.132172926382111e-18 -20.496240812372445 Swope_B CSP_VEGA
54776.216 1.1311069608534374e-15 7.292516074600186e-18 -20.496240812372445 Swope_B CSP_VEGA
54779.281 1.1649403148108023e-15 9.656547131200117e-18 -20.496240812372445 Swope_B CSP_VEGA
54781.263 1.1238379026332995e-15 1.0350929606180516e-17 -20.496240812372445 Swope_B CSP_VEGA
54783.251 1.0546386303381077e-15 1.068493883033361e-17 -20.496240812372445 Swope_B CSP_VEGA
54786.334 9.051148181832365e-16 9.170057106305638e-18 -20.496240812372445 Swope_B CSP_VEGA
54790.229 6.654319895843617e-16 4.9030840947786255e-18 -20.496240812372445 Swope_B CSP_VEGA
54792.2 5.408834275659627e-16 4.4835484224992766e-18 -20.496240812372445 Swope_B CSP_VEGA
54793.214 4.856279508149167e-16 4.472798721150691e-18 -20.496240812372445 Swope_B CSP_VEGA
54795.245 3.8080590575503264e-16 4.208822409195042e-18 -20.496240812372445 Swope_B CSP_VEGA
54801.27 1.9692627910775523e-16 2.9020128940307333e-18 -20.496240812372445 Swope_B CSP_VEGA
54802.235 1.8344406903050726e-16 2.5343734724869e-18 -20.496240812372445 Swope_B CSP_VEGA
54803.291 1.7104235797471454e-16 2.8356450029505283e-18 -20.496240812372445 Swope_B CSP_VEGA
